,OMIMID,OMOPID
1422,179600,314962
1423,179600,314962
1424,179600,314962
1425,608622,0
1426,161900,4125967
1427,161900,319826
1428,161900,45766198
1429,161900,193253
1430,161900,4125967
1431,607459,44782474
1432,607459,4274575
1433,607459,4133223
1434,607459,4059379
1435,208230,4109171
1436,208230,135061
1437,208230,4109171
1438,208230,4150456
1439,147530,0
1440,140600,80180
1441,140600,72990
1442,140600,80180
1443,140600,4025957
1444,140600,80180
1445,607850,80180
1446,607850,72990
1447,607850,80180
1448,607850,4025957
1449,607850,80180
1450,165720,80180
1451,165720,80180
1452,165720,80180
1453,165720,36516824
1454,165720,45884766
1455,165720,80180
1456,165720,72990
1457,165720,4025957
1458,165720,80180
1459,165720,80180
1460,608622,0
1461,161900,4125967
1462,161900,319826
1463,161900,45766198
1464,161900,193253
1465,161900,4125967
1466,145590,0
1467,157300,4294246
1468,157300,379806
1469,157300,4105365
1470,157300,377844
1471,157300,318736
1472,157300,4318866
1473,157300,318736
1474,157300,318736
1475,157300,45884610
1476,157300,36703480
1477,157300,318736
1478,157300,318736
1479,157300,318736
1480,157300,318736
1481,157300,318736
1482,157300,318736
1483,157300,379806
1484,157300,318736
1485,190400,379801
1486,190400,36718098
1487,190400,379801
1488,190400,379801
1489,190400,379801
1490,190400,379801
1491,601042,37395940
1492,601042,375800
1493,200170,4299544
1494,200170,140489
1495,200170,36617314
1496,200170,4299544
1497,160750,73001
1498,160750,73001
1499,160750,36516833
1500,160750,4028369
1501,160750,73001
1502,160750,137275
1503,160750,73001
1504,160750,137967
1505,160750,4028369
1506,160750,4005037
1507,181000,438688
1508,181000,36009857
1509,181000,438688
1510,181000,438688
1511,181000,438688
1512,181000,438688
1513,181000,4093002
1514,181000,438688
1515,181000,4185547
1516,181000,4274184
1517,181000,4086243
1518,215140,4308194
1519,215140,4150458
1520,215140,4308194
1521,215140,4308194
1522,276300,788469
1523,276300,4266973
1524,276300,4180790
1525,276300,4266973
1526,601608,0
1527,188030,318397
1528,188030,35104689
1529,188030,4137430
1530,188030,4137430
1531,188030,4137430
1532,188030,4137430
1533,153880,4105178
1534,153880,4105178
1535,153880,35634304
1536,153880,4290333
1537,153880,377270
1538,153880,4195049
1539,233810,440508
1540,145590,0
1541,208550,0
1542,152700,257628
1543,152700,257628
1544,152700,36009823
1545,152700,45883557
1546,152700,4344158
1547,152700,4063581
1548,152700,257628
1549,152700,257628
1550,152700,257628
1551,152700,257628
1552,152700,257628
1553,600351,0
1554,254400,4040380
1555,254400,35104618
1556,254400,4040380
1557,254400,4040380
1558,254400,4040380
1559,254400,4040380
1560,133600,36568679
1561,223350,0
1562,125600,4115279
